2.300000,-0.602359,-0.510127,-0.403142,-0.277557,-0.128059,0.052900,0.276419,0.559515,0.929668,1.434333
2.350000,-0.616932,-0.520232,-0.408938,-0.279475,-0.126999,0.055225,0.276844,0.552181,0.903460,1.367127
2.400000,-0.628335,-0.527927,-0.413092,-0.280482,-0.125622,0.057600,0.277761,0.547283,0.884865,1.320010
2.450000,-0.635224,-0.532275,-0.415034,-0.280304,-0.123855,0.060025,0.279243,0.545069,0.874136,1.292057
2.500000,-0.636548,-0.532555,-0.414330,-0.278737,-0.121645,0.062500,0.281343,0.545713,0.871464,1.282783
2.550000,-0.631775,-0.528401,-0.410758,-0.275675,-0.118963,0.065025,0.284089,0.549317,0.877019,1.292216
2.600000,-0.621049,-0.519903,-0.404369,-0.271140,-0.115815,0.067600,0.287483,0.555910,0.890951,1.320919
2.650000,-0.605184,-0.507615,-0.395487,-0.265280,-0.112237,0.070225,0.291493,0.565418,0.913336,1.369911
2.700000,-0.585527,-0.492464,-0.384674,-0.258361,-0.108300,0.072900,0.296053,0.577637,0.944059,1.440461
2.750000,-0.563713,-0.475607,-0.372648,-0.250733,-0.104098,0.075625,0.301059,0.592185,0.982614,1.533600
2.800000,-0.541419,-0.458261,-0.360189,-0.242795,-0.099746,0.078400,0.306366,0.608447,1.027803,1.649180
2.850000,-0.520168,-0.441567,-0.348056,-0.234950,-0.095366,0.081225,0.311789,0.625534,1.077380,1.784243
2.900000,-0.501220,-0.426503,-0.336929,-0.227575,-0.091078,0.084100,0.317117,0.642282,1.127726,1.930715
2.950000,-0.485544,-0.413848,-0.327366,-0.220998,-0.086994,0.087025,0.322126,0.657318,1.173802,2.073182
3.000000,-0.473837,-0.404178,-0.319798,-0.215478,-0.083203,0.090000,0.326606,0.669227,1.209690,2.188911
3.050000,-0.466560,-0.397884,-0.314522,-0.211200,-0.079775,0.093025,0.330388,0.676809,1.229868,2.253028
3.100000,-0.463970,-0.395182,-0.311704,-0.208268,-0.076746,0.096100,0.333376,0.679357,1.230948,2.248912
3.150000,-0.466119,-0.396110,-0.311368,-0.206694,-0.074120,0.099225,0.335567,0.676871,1.213020,2.177515
3.200000,-0.472821,-0.400501,-0.313378,-0.206388,-0.071863,0.102400,0.337057,0.670086,1.179750,2.057294
