2.8000,1.0064
2.8100,1.0074
2.8200,1.0087
2.8300,1.0101
2.8400,1.0117
2.8500,1.0136
2.8600,1.0158
2.8700,1.0184
2.8800,1.0213
2.8900,1.0247
2.9000,1.0286
2.9100,1.0331
2.9200,1.0383
2.9300,1.0443
2.9400,1.0512
2.9500,1.0592
2.9600,1.0683
2.9700,1.0788
2.9800,1.0909
2.9900,1.1048
3.0000,1.1208
