$n$,$x_{n}$,$y_{n}$,$y(x_{n})$,Error
0,0.0,0.0,0.0,0.0
1,0.1,0.0,0.0003,0.0003
2,0.2,0.001,0.0026,0.0016
3,0.3,0.005,0.0087,0.0037
4,0.4,0.0137,0.0201,0.0063
5,0.5,0.0286,0.0379,0.0093
6,0.6,0.0508,0.063,0.0121
7,0.7,0.081,0.0956,0.0147
8,0.8,0.1193,0.136,0.0166
9,0.9,0.1656,0.1837,0.0181
10,1.0,0.2195,0.2384,0.0189
