1.500000,1.500000
1.500000,1.600781
1.600781,1.600781
1.600781,1.533027
1.533027,1.533027
1.533027,1.580539
1.580539,1.580539
1.580539,1.548107
1.548107,1.548107
1.548107,1.570681
1.570681,1.570681
1.570681,1.555171
1.555171,1.555171
1.555171,1.565925
1.565925,1.565925
1.565925,1.558515
1.558515,1.558515
1.558515,1.563643
1.563643,1.563643
1.563643,1.560105
1.560105,1.560105
1.560105,1.562552
1.562552,1.562552
1.562552,1.560862
1.560862,1.560862
1.560862,1.562030
1.562030,1.562030
1.562030,1.561223
1.561223,1.561223
1.561223,1.561780
1.561780,1.561780
1.561780,1.561395
1.561395,1.561395
1.561395,1.561661
1.561661,1.561661
1.561661,1.561478
1.561478,1.561478
1.561478,1.561605
1.561605,1.561605
1.561605,1.561517
1.561517,1.561517
1.561517,1.561578
1.561578,1.561578
1.561578,1.561536
1.561536,1.561536
1.561536,1.561565
1.561565,1.561565
1.561565,1.561545
1.561545,1.561545
1.561545,1.561558
1.561558,1.561558
1.561558,1.561549
1.561549,1.561549
1.561549,1.561556
1.561556,1.561556
1.561556,1.561551
1.561551,1.561551
1.561551,1.561554
1.561554,1.561554
1.561554,1.561552
1.561552,1.561552
1.561552,1.561553
1.561553,1.561553
1.561553,1.561552
1.561552,1.561552
1.561552,1.561553
1.561553,1.561553
1.561553,1.561553
1.561553,1.561553
1.561553,1.561553
1.561553,1.561553
