$n$,$x_{n}$,$y_{n}$,$y(x_{n})$,Error
0,0.0,1.0,1.0,0.0
1,0.2,1.0,0.9997,-0.0003
2,0.4,0.9984,0.9899,-0.0085
3,0.6,0.9729,0.9279,-0.045
4,0.8,0.8502,0.7532,-0.097
5,1.0,0.5541,0.5,-0.0541
6,1.2,0.2471,0.2867,0.0396
7,1.4,0.1205,0.1568,0.0363
8,1.6,0.0647,0.0871,0.0223
9,1.8,0.0373,0.0503,0.013
10,2.0,0.0227,0.0303,0.0076
